name,circulating_supply,max_supply,symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,percentage_change_1h,percentage_change_24h,percentage_change_7d,price,volume_24h
Bitcoin,18896418,21000000,BTC,898444455125,-0.779429988047198,-6.24858514037801,-16.833519327241,-0.779429988047198,-6.24858514037801,-16.833519327241,47546.0,26487903760
Litecoin,69153171,84000000,LTC,10593815945,-1.01516932588695,-6.8176393936105,-26.5156320141649,-1.01516932588695,-6.8176393936105,-26.5156320141649,153.19,1188164711
Namecoin,15828050,21000000,NMC,20191061,3.03822500112877,1.25346517986461,14.3646481720056,3.03822500112877,1.25346517986461,14.3646481720056,1.3,12606
Terracoin,22935396,42000000,TRC,452255,5.94426071079396,5.27175110851565,-15.3725137868191,5.94426071079396,5.27175110851565,-15.3725137868191,0.01995765,199
Peercoin,27047999,2000000000,PPC,24927928,-0.223309910173221,0.1435497120733,21.3854878802445,-0.223309910173221,0.1435497120733,21.3854878802445,0.921618,9697
Novacoin,0,0,NVC,0,1.17816482801763,-23.4842590598356,-44.0295175087562,1.17816482801763,-23.4842590598356,-44.0295175087562,0.210417,88
Feathercoin,246987318,336000000,FTC,5677323,1.22746433243782,0.975867790962238,23.5637161776098,1.22746433243782,0.975867790962238,23.5637161776098,0.0229863,5567
Mincoin,0,10000000,MNC,0,0.0,0.0,-15.7212419991794,0.0,0.0,-15.7212419991794,0.00834394,5
MainCoin,315226594,380020246,MNC,725696,0.610735770536746,3.41366955374899,26.9367884550778,0.610735770536746,3.41366955374899,26.9367884550778,0.00230214,1691
Freicoin,114195686,100000000,FRC,526730,0.0,0.0,0.0,0.0,0.0,0.0,0.00461252,12
Ixcoin,21204114,21000000,IXC,2093731,0.0,-0.152507752152371,199.030452403814,0.0,-0.152507752152371,199.030452403814,0.098742,58
Bitball,642008999,999999999,BTB,2696187,2.19508843548218,69.1106144271551,73.351161178256,2.19508843548218,69.1106144271551,73.351161178256,0.00422067,39
Bitbar,0,9700,BTB,0,0.0,-67.8914839032762,-4.40741000900303,0.0,-67.8914839032762,-4.40741000900303,1.37,0
Wisdom Chain,0,590000000,WDC,0,0.0,5.51256662114338,0.883901016586608,0.0,5.51256662114338,0.883901016586608,0.0495343,5908
WorldCoin,140311471,265000000,WDC,3463898,0.0,27.7605966361094,53.0372382248429,0.0,27.7605966361094,53.0372382248429,0.02468721,509
Digitalcoin,0,48166000,DGC,0,0.0,-14.3018485736771,-33.8030027868329,0.0,-14.3018485736771,-33.8030027868329,0.00593935,22
Goldcoin,43518104,72245700,GLC,6443670,4.65838908034364,7.51909011236585,15.6195157276934,4.65838908034364,7.51909011236585,15.6195157276934,0.150124,360446
Argentum,15250957,64000000,ARG,0,0.0,0.0,0.0,0.0,0.0,0.0,2.3167e-08,0
Fastcoin,0,0,FST,0,-0.21280993281624,-1.13233307068332,843.176224209785,-0.21280993281624,-1.13233307068332,843.176224209785,0.00803032,394
Phoenixcoin,0,98000000,PXC,0,0.0,-7.0990969414796,29.6126394246291,0.0,-7.0990969414796,29.6126394246291,0.01364321,194
Megacoin,39589453,42000000,MEC,342487,0.0,0.16712604694226,14.4146855080375,0.0,0.16712604694226,14.4146855080375,0.00883226,2
Infinitecoin,90595753019,90600000000,IFC,14801905,3.70575337470429,1.23889485234305,23.7697601274572,3.70575337470429,1.23889485234305,23.7697601274572,0.00016488,37
Primecoin,25381219,0,XPM,3235029,1.92383551222506,7.51905502978568,43.4084283165671,1.92383551222506,7.51905502978568,43.4084283165671,0.127458,3296622
Anoncoin,0,3100000,ANC,0,1.21322093178107,-0.211485959581594,-11.0396760427354,1.21322093178107,-0.211485959581594,-11.0396760427354,0.07679,39
